City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Ilebo,CD,2021-05-22 23:16:56,-4.3167,20.5833,70.88,83,46,1.72
107,Namibe,AO,2021-05-22 23:16:57,-15.1961,12.1522,74.82,69,14,2.86
108,Ahipara,NZ,2021-05-22 23:16:57,-35.1667,173.1667,59.56,71,93,19.82
109,Mount Gambier,AU,2021-05-22 23:16:57,-37.8333,140.7667,52.03,49,100,8.32
110,Qaanaaq,GL,2021-05-22 23:16:57,77.484,-69.3632,27.12,79,100,2.44
111,Lorengau,PG,2021-05-22 23:16:58,-2.0226,147.2712,83.73,75,93,5.46
112,Kedrovyy,RU,2021-05-22 23:16:58,56.1667,91.8167,45.01,97,100,3.4
113,Tasiilaq,GL,2021-05-22 23:16:58,65.6145,-37.6368,28.56,84,100,2.93
114,Sitka,US,2021-05-22 23:12:18,57.0531,-135.33,48.09,81,90,4.61
115,Kaitangata,NZ,2021-05-22 23:16:58,-46.2817,169.8464,48.92,64,1,5.32
116,Kargopol,RU,2021-05-22 23:16:59,61.5071,38.9456,45.54,98,50,7.29
117,Cherskiy,RU,2021-05-22 23:16:59,68.75,161.3,36.77,63,24,5.57
118,Pangai,TO,2021-05-22 23:16:59,-19.8,-174.35,79.63,84,38,10.87
119,Richards Bay,ZA,2021-05-22 23:12:01,-28.783,32.0377,59.7,89,38,5.03
120,Synya,RU,2021-05-22 23:16:59,65.3718,58.0387,54.41,52,55,8.86
121,Maxixe,MZ,2021-05-22 23:17:00,-23.8597,35.3472,67.93,69,14,10.78
122,Sainte-Suzanne,RE,2021-05-22 23:17:00,-20.9061,55.6089,70.02,68,75,13.49
123,Kodiak,US,2021-05-22 23:17:00,57.79,-152.4072,51.31,76,75,6.91
124,Muravlenko,RU,2021-05-22 23:17:00,63.7898,74.523,63.81,59,100,13.06
125,Comodoro Rivadavia,AR,2021-05-22 23:12:38,-45.8667,-67.5,44.46,87,0,1.14
126,Igarka,RU,2021-05-22 23:15:13,67.4667,86.5833,35.78,100,100,14.94
127,Bredasdorp,ZA,2021-05-22 23:17:01,-34.5322,20.0403,50.29,77,17,3.44
128,Cidreira,BR,2021-05-22 23:17:01,-30.1811,-50.2056,61.57,80,9,11.25
129,Puerto Ayora,EC,2021-05-22 23:17:01,-0.7393,-90.3518,75.54,87,68,5.01
130,Abalak,RU,2021-05-22 23:17:01,58.1286,68.5944,65.23,55,91,9.37
131,Pachino,IT,2021-05-22 23:17:02,36.7186,15.0907,63.59,83,6,6.82
132,Nuuk,GL,2021-05-22 23:17:02,64.1835,-51.7216,30.81,80,90,24.16
133,Lima,PE,2021-05-22 23:12:04,-12.0432,-77.0282,64.65,72,90,2.3
134,La Reforma,MX,2021-05-22 23:17:02,25.0833,-108.05,89.15,42,46,11.97
135,Lasa,IT,2021-05-22 23:17:02,46.6166,10.7002,50.88,98,100,1.9
136,Grindavik,IS,2021-05-22 23:17:03,63.8424,-22.4338,42.75,88,90,4.25
137,Port Hardy,CA,2021-05-22 23:15:12,50.6996,-127.4199,59.18,72,20,17.27
138,Praia Da Vitoria,PT,2021-05-22 23:17:03,38.7333,-27.0667,58.75,82,20,8.75
139,Krasnyy Yar,RU,2021-05-22 23:17:03,46.5331,48.3456,70.97,40,65,7.31
140,Sur,OM,2021-05-22 23:17:03,22.5667,59.5289,87.67,51,0,8.19
141,Puerto Varas,CL,2021-05-22 23:17:04,-41.3195,-72.9854,50.22,89,90,2.46
142,Port Moresby,PG,2021-05-22 23:17:04,-9.4431,147.1797,78.78,82,94,14.56
143,Marzuq,YE,2021-05-22 23:17:04,14.4,46.4667,78.04,27,42,5.88
144,Banjar,ID,2021-05-22 23:17:04,-8.19,114.9675,76.86,83,12,3.0
145,Vila Franca Do Campo,PT,2021-05-22 23:17:04,37.7167,-25.4333,54.01,66,1,5.95
146,Jurm,AF,2021-05-22 23:17:05,36.8648,70.8342,55.94,65,100,0.51
147,Chernyshevskiy,RU,2021-05-22 23:17:05,63.0128,112.4714,44.17,56,61,2.93
148,Vila Do Maio,CV,2021-05-22 23:17:05,15.1333,-23.2167,72.39,84,4,12.03
149,Grand-Santi,GF,2021-05-22 23:17:05,4.25,-54.3833,74.73,99,54,2.77
150,Tuatapere,NZ,2021-05-22 23:17:06,-46.1333,167.6833,49.82,73,6,4.5
151,Bengkulu,ID,2021-05-22 23:17:06,-3.8004,102.2655,75.65,80,92,3.24
152,Thompson,CA,2021-05-22 23:17:06,55.7435,-97.8558,53.76,30,20,4.61
153,Kunming,CN,2021-05-22 23:14:44,25.0389,102.7183,69.21,68,9,4.29
154,Itaperucu,BR,2021-05-22 23:17:06,-25.22,-49.3478,65.35,99,66,3.53
155,Victoria,HK,2021-05-22 23:17:07,22.2855,114.1577,86.32,81,99,1.01
156,Alyangula,AU,2021-05-22 23:17:07,-13.8483,136.4192,79.27,72,77,10.25
157,Iqaluit,CA,2021-05-22 23:17:07,63.7506,-68.5145,19.13,67,75,13.0
158,Breves,BR,2021-05-22 23:17:07,-1.6822,-50.4803,79.7,77,94,3.31
