City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Souillac,MU,-20.5167,57.5167,81.36,88,75,4.61,broken clouds
107,Pimentel,PE,-6.8367,-79.9342,66.0,86,76,3.0,broken clouds
108,Odienne,CI,9.51,-7.5692,70.66,94,80,1.68,light rain
109,Beringovskiy,RU,63.05,179.3167,32.92,97,100,18.52,light snow
110,Shaghat,AM,39.5625,45.9143,57.9,75,12,3.29,few clouds
111,Sinnamary,GF,5.3833,-52.95,77.07,93,99,8.05,moderate rain
112,Hithadhoo,MV,-0.6,73.0833,83.73,71,90,18.88,overcast clouds
113,Nakamura,JP,32.9833,132.9333,75.54,77,99,7.52,overcast clouds
114,Vostok,RU,46.4856,135.8833,61.43,39,93,0.83,overcast clouds
115,Cheney,US,47.4874,-117.5758,62.62,52,40,6.78,scattered clouds
116,Ptuj,SI,46.4201,15.8702,55.18,93,0,2.48,clear sky
117,Todos Santos,MX,23.45,-110.2167,82.74,57,99,8.5,overcast clouds
118,Ghanzi,BW,-21.5667,21.7833,49.93,44,1,5.82,clear sky
119,Haapsalu,EE,58.9431,23.5414,52.02,85,91,14.92,overcast clouds
120,Korla,CN,41.7597,86.1469,88.66,8,99,8.93,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,6.91,overcast clouds
122,Biloela,AU,-24.4167,150.5,76.93,26,15,17.67,few clouds
123,Zaozerne,UA,45.1582,33.2787,65.52,67,43,11.3,scattered clouds
124,Wilmington,US,34.2257,-77.9447,75.94,79,1,6.91,clear sky
125,Meiktila,MM,20.8667,95.8667,94.86,35,18,11.65,few clouds
126,Chokurdakh,RU,70.6333,147.9167,44.62,71,31,10.47,scattered clouds
127,Baykit,RU,61.67,96.37,50.49,50,38,6.85,scattered clouds
128,Khatanga,RU,71.9667,102.5,29.19,79,72,8.66,broken clouds
129,Teya,RU,60.3778,92.6267,54.34,37,100,11.01,overcast clouds
130,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,47.95,57,87,7.63,overcast clouds
131,Enfield,AU,-34.8526,138.6026,65.82,66,75,7.0,broken clouds
132,Kavaratti,IN,10.5669,72.642,83.46,75,100,14.94,overcast clouds
133,Qaanaaq,GL,77.484,-69.3632,29.16,73,0,5.91,clear sky
134,Talnakh,RU,69.4865,88.3972,27.52,82,51,6.42,broken clouds
135,Tessalit,ML,20.1986,1.0114,86.9,8,61,10.87,broken clouds
136,Nsunga,TZ,-1.1439,31.3947,64.27,86,99,2.82,overcast clouds
137,Nantucket,US,41.2835,-70.0995,65.08,95,90,17.27,overcast clouds
138,Nikolskoye,RU,59.7035,30.7861,53.49,81,44,4.9,scattered clouds
139,Macara,EC,-4.3833,-79.95,68.47,94,48,1.05,scattered clouds
140,Lichinga,MZ,-13.3128,35.2406,51.89,87,20,4.61,few clouds
141,Adrar,MR,20.5022,-10.0711,81.19,25,0,10.94,clear sky
142,Vaitape,PF,-16.5167,-151.75,81.07,70,17,13.18,few clouds
143,Bodaybo,RU,57.8506,114.1933,62.87,34,95,4.68,overcast clouds
144,Brae,GB,60.3964,-1.353,48.11,83,100,14.79,overcast clouds
145,Ormara,PK,25.2088,64.6357,86.11,81,6,8.23,clear sky
146,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,90,11.86,overcast clouds
147,Lotoshino,RU,56.2267,35.6414,54.93,76,11,2.93,few clouds
148,Labuhan,ID,-6.8844,112.2051,89.65,58,23,13.27,few clouds
