City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Jalpa,MX,80.4,broken clouds,21.6333,-102.9667,"Estacionamiento ""El Nogal"""
311,Puerto Escondido,MX,82.76,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
317,Hanting,CN,86.9,clear sky,36.7708,119.2108,Weifang Xinhongda Guesthouse
321,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
324,Salvador,SV,75.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
328,Benjamin Hill,MX,76.87,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
329,Eagle Pass,US,83.25,scattered clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
334,Banjar,ID,85.86,clear sky,-8.19,114.9675,The Hamsa Resort
338,Vanimo,PG,85.82,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
346,Gampengrejo,ID,89.98,scattered clouds,-7.7667,112.0167,Lotus Garden Hotel
348,Lorengau,PG,76.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
351,Panlaitan,PH,85.6,scattered clouds,12.1191,119.8486,Panlaitan Cetro Beach
354,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
356,Gazalkent,UZ,86.36,broken clouds,41.5581,69.7708,Khumson Sanatoriy
361,Bima,ID,89.89,broken clouds,-8.4667,118.7167,Lambitu Hotel
367,Port Hedland,AU,80.85,light rain,-20.3167,118.5667,The Esplanade Hotel
370,Ishigaki,JP,89.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
375,Zabol,AF,80.64,clear sky,32.25,67.25,
376,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
378,Oskemen,KZ,85.96,scattered clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
380,Teacapan,MX,77.2,scattered clouds,22.55,-105.75,Hotel los Mangos
384,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
385,Shubarshi,KZ,82.42,few clouds,48.5872,57.1869,
392,Kashi,CN,81.61,clear sky,39.4547,75.9797,帕米尔青年旅舍
404,Sabha,LY,78.37,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
413,Diffa,NE,79.03,few clouds,13.3154,12.6113,ProDAF/Diffa
414,Asyut,EG,78.98,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
415,Tagusao,PH,83.48,overcast clouds,9.1924,117.8141,Toledo
418,Kushima,JP,77.04,overcast clouds,31.4583,131.2333,Hanaoka
432,Nata,PA,79.47,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
433,Ligayan,PH,84.15,scattered clouds,4.6533,119.4706,
434,Jagalur,IN,81.03,overcast clouds,14.5333,76.35,S L V hotel
436,Kutum,SD,78.46,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
437,Yumen,CN,82.22,broken clouds,40.2833,97.2,
438,Puerto Cabezas,NI,78.24,overcast clouds,14.0351,-83.3888,Cabaña Caribe
439,Lakatoro,VU,76.48,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
443,Sungai Petani,MY,87.69,overcast clouds,5.647,100.4877,Swiss-Inn Sungai Petani
445,Daru,PG,80.38,overcast clouds,-9.0763,143.2092,Daru Lodge
447,Tiarei,PF,78.01,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
451,Kerema,PG,80.64,overcast clouds,-7.9631,145.7785,Frena Lodge
452,Yinchuan,CN,84.97,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
463,Salamiyah,SY,76.19,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
464,Las Vegas,US,83.43,few clouds,36.175,-115.1372,Plaza Hotel & Casino
473,Jalu,LY,78.6,clear sky,29.0331,21.5482,صاحبة الفخامة
477,Omboue,GA,76.39,overcast clouds,-1.5746,9.2618,Hotel Olako
482,Virarajendrapet,IN,75.52,broken clouds,12.2,75.8,Orchid Inn
483,Amahai,ID,81.37,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
486,Guilin,CN,82.51,moderate rain,25.2819,110.2864,Grand 0773 Hotel
494,Edd,ER,89.91,overcast clouds,13.9297,41.6925,
495,Soyo,AO,75.24,broken clouds,-6.1349,12.3689,Hotel Mpampa
496,Champerico,GT,83.73,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
497,Tual,ID,81.48,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
500,Muli,MV,84.25,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
502,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
508,Marsh Harbour,BS,75.83,broken clouds,26.5412,-77.0636,Abaco Beach Resort
511,Geraldton,AU,83.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
513,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
516,Marihatag,PH,86.38,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
518,Shache,CN,83.89,broken clouds,38.4167,77.2406,Delong Hotel
520,Kumluca,TR,78.62,clear sky,36.3703,30.2869,TurkuazKöy
524,Biak,ID,83.55,few clouds,-0.9131,122.8766,Penginapan Kim
531,Baillif,GP,76.5,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
534,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
538,Charters Towers,AU,80.11,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
542,Arlit,NE,83.44,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
543,Port-Gentil,GA,79.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
546,Marzuq,YE,78.78,broken clouds,14.4,46.4667,
549,Sikasso,ML,81.19,overcast clouds,10.9167,-7.0,
555,San Angelo,US,80.82,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
557,Mikhaylovskoye,RU,81.66,broken clouds,51.8239,79.7172,"Terem"""
558,Gazanjyk,TM,75.9,overcast clouds,39.2446,55.5154,Railway motel
559,Bilma,NE,82.36,clear sky,18.6853,12.9164,Expeditions Ténére voyages
561,Hutchinson,US,75.15,scattered clouds,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
565,Kalmunai,LK,83.07,overcast clouds,7.4167,81.8167,VS Villa
566,Solenzo,BF,87.21,broken clouds,12.1833,-4.0833,
567,Illela,NG,84.79,clear sky,13.7292,5.2975,
569,Poso,ID,86.16,few clouds,-1.3959,120.7524,Hotel 77 Poso
571,Mashhad,IR,80.74,broken clouds,36.297,59.6062,Khanye Sabz Hotel
573,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
574,Aquiraz,BR,78.89,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
576,Maragogi,BR,76.12,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
585,Ternate,ID,85.75,few clouds,0.8,127.4,Grand Dafam Bela Ternate
586,Acapulco,MX,81.66,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
590,Ugoofaaru,MV,83.61,light rain,5.6667,73.0,Ungoofaaru Inn
593,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Ecotur Lodge
594,Anito,PH,87.06,overcast clouds,12.4497,125.2886,The Yellow House
603,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
606,General Bravo,MX,78.17,scattered clouds,25.8,-99.1667,Hotel Don Joaquin
607,Itarema,BR,76.82,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
609,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
612,Ifo,NG,80.22,broken clouds,6.8144,3.1958,Footed Hotel and Suites
613,Manokwari,ID,82.89,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
614,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
619,Dzilam Gonzalez,MX,77.63,overcast clouds,21.2833,-88.9333,posadas
622,Ha Tinh,VN,89.38,broken clouds,18.3333,105.9,Phú Quý
623,Brawley,US,84.49,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
627,Sumenep,ID,87.87,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
633,Luwuk,ID,86.04,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
640,Tondano,ID,80.69,few clouds,1.3038,124.9112,Villa Bella
649,Koungou,YT,80.31,few clouds,-12.7336,45.2042,Villa Netibor
650,Erzin,TR,77.52,clear sky,36.9559,36.2,Artemis Otel
654,Mangrol,IN,85.73,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
660,Sainte-Marie,RE,80.73,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
661,Tabou,CI,78.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
670,Xuddur,SO,75.31,broken clouds,4.1213,43.8894,Banjanay Hotel
682,Finschhafen,PG,79.83,overcast clouds,-6.6024,147.8681,Cossam Guest House
687,Cape Coast,GH,79.23,broken clouds,5.1053,-1.2466,Samrit Hotel
694,Agadez,NE,78.87,clear sky,19.75,10.25,
698,Hede,CN,87.78,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
